STATEFP|DISTRICT|NAME|NAMELSAD
34|05760|Garfield City School District|Garfield City School District
34|05790|Garwood Borough School District|Garwood Borough School District
34|05880|Glassboro Borough School District|Glassboro Borough School District
34|05940|Glen Ridge Borough School District|Glen Ridge Borough School District
34|05970|Glen Rock Borough School District|Glen Rock Borough School District
34|06000|Gloucester City School District|Gloucester City School District
34|06090|Green Township School District|Green Township School District
34|06120|Green Brook Township School District|Green Brook Township School District
34|06180|Greenwich Township School District|Greenwich Township School District
34|06210|Greenwich Township School District|Greenwich Township School District
34|06240|Guttenberg Town School District|Guttenberg Town School District
34|06270|Hackensack City School District|Hackensack City School District
34|06300|Hackettstown Town School District|Hackettstown Town School District
34|06330|Haddon Heights Borough School District|Haddon Heights Borough School District
34|06360|Haddon Township School District|Haddon Township School District
34|06390|Haddonfield Borough School District|Haddonfield Borough School District
34|06540|Hamilton Township School District|Hamilton Township School District
34|06570|Hammonton Town School District|Hammonton Town School District
34|06720|Harding Township School District|Harding Township School District
34|06810|Harmony Township School District|Harmony Township School District
34|06870|Harrison Town School District|Harrison Town School District
34|06930|Hasbrouck Heights Borough School District|Hasbrouck Heights Borough School District
34|06990|Hawthorne Borough School District|Hawthorne Borough School District
34|07080|Hi-Nella Borough School District|Hi-Nella Borough School District
34|07170|Highland Park Borough School District|Highland Park Borough School District
34|07230|Hillsborough Township School District|Hillsborough Township School District
34|07290|Hillside Township School District|Hillside Township School District
34|07320|Ho-Ho-Kus Borough School District|Ho-Ho-Kus Borough School District
34|07350|Hoboken City School District|Hoboken City School District
34|07410|Holmdel Township School District|Holmdel Township School District
34|07440|Hopatcong Borough School District|Hopatcong Borough School District
34|07470|Hope Township School District|Hope Township School District
34|07530|Hopewell Valley Regional School District|Hopewell Valley Regional School District
34|07650|Interlaken Borough School District|Interlaken Borough School District
34|07680|Irvington Township School District|Irvington Township School District
34|07740|Jackson Township School District|Jackson Township School District
34|07770|Jamesburg Borough School District|Jamesburg Borough School District
34|07800|Jefferson Township School District|Jefferson Township School District
34|07830|Jersey City School District|Jersey City School District
34|07860|Keansburg Borough School District|Keansburg Borough School District
34|07890|Kearny Town School District|Kearny Town School District
34|07920|Kenilworth Borough School District|Kenilworth Borough School District
34|07950|Keyport Borough School District|Keyport Borough School District
34|08040|Kinnelon Borough School District|Kinnelon Borough School District
34|08100|Lacey Township School District|Lacey Township School District
34|08160|Lakehurst Borough School District|Lakehurst Borough School District
34|08220|Lakewood Township School District|Lakewood Township School District
34|08280|Laurel Springs Borough School District|Laurel Springs Borough School District
34|08310|Lavallette Borough School District|Lavallette Borough School District
34|08340|Lawnside Borough School District|Lawnside Borough School District
34|08370|Lawrence Township School District|Lawrence Township School District
34|08400|Lawrence Township School District|Lawrence Township School District
34|08520|Leonia Borough School District|Leonia Borough School District
34|08580|Lincoln Park Borough School District|Lincoln Park Borough School District
34|08610|Linden City School District|Linden City School District
34|08640|Lindenwold Borough School District|Lindenwold Borough School District
34|08671|Longport Borough School District|Longport Borough School District
34|08760|Little Ferry Borough School District|Little Ferry Borough School District
34|08820|Livingston Township School District|Livingston Township School District
34|08850|Lodi Borough School District|Lodi Borough School District
34|08880|Logan Township School District|Logan Township School District
34|08940|Long Branch City School District|Long Branch City School District
34|09000|Lopatcong Township School District|Lopatcong Township School District
34|09030|Lower Alloways Creek Township School District|Lower Alloways Creek Township School District
34|09120|Pennsville Township School District|Pennsville Township School District
34|09210|Lyndhurst Township School District|Lyndhurst Township School District
34|09240|Madison Borough School District|Madison Borough School District
34|09270|Old Bridge Township School District|Old Bridge Township School District
34|09330|Mahwah Township School District|Mahwah Township School District
34|09420|Manasquan Borough School District|Manasquan Borough School District
34|09450|Manchester Township School District|Manchester Township School District
34|09480|Mannington Township School District|Mannington Township School District
34|09630|Manville Borough School District|Manville Borough School District
34|09660|Maple Shade Township School District|Maple Shade Township School District
34|09690|Margate City School District|Margate City School District
34|09750|Matawan-Aberdeen Regional School District|Matawan-Aberdeen Regional School District
34|09780|Maurice River Township School District|Maurice River Township School District
34|09810|Maywood Borough School District|Maywood Borough School District
34|09960|Merchantville Borough School District|Merchantville Borough School District
34|09990|Metuchen Borough School District|Metuchen Borough School District
34|10020|Middle Township School District|Middle Township School District
34|10050|Middlesex Borough School District|Middlesex Borough School District
34|10110|Middletown Township School District|Middletown Township School District
34|10140|Midland Park Borough School District|Midland Park Borough School District
34|10200|Millburn Township School District|Millburn Township School District
34|10230|Millstone Township School District|Millstone Township School District
